Device time,"Ambient air temperature (℃)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel level input (L)","Instant engine power (based on acceleration) (kW)","Intake manifold absolute pressure (kPa)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
18-09-2020 18:17:56.463,,15.1717338136617,,,0.0192675646111111,13.8797681341667,,,1.01345123312115,,-0.550914541276931,18,
18-09-2020 18:17:56.515,,,,,,,1177,,,,,,
18-09-2020 18:17:56.562,,,,-0.694117647058824,,,,,,30.5882352941176,,,
18-09-2020 18:17:56.607,,15.2582860634531,,,0.0199891986111111,13.8804897681667,,,1.03866313404625,,-0.541297877716089,18,
18-09-2020 18:17:56.652,,,,,,,1195,,,,,,
18-09-2020 18:17:56.673,,,,-0.717647058823529,,,,,,28.2352941176471,,,
18-09-2020 18:17:56.720,,15.3226136051399,,,0.0205557671111111,13.8810563366667,,,1.04017943450029,,-0.540719509929903,18,
18-09-2020 18:17:56.791,,,,,,,1162,,,,,,
18-09-2020 18:17:56.836,,,,-0.717647058823529,,,,,,28.2352941176471,,,
18-09-2020 18:17:56.882,,15.4093394289303,,,0.0213641391111111,13.8818647086667,,,1.14214172586699,,-0.501827676470814,18,
18-09-2020 18:17:56.928,,,,,,,1167,,,,,,
18-09-2020 18:17:56.975,,,,-0.717647058823529,,,,,,28.2352941176471,,,
18-09-2020 18:17:57.021,,15.4795882283206,,,0.0220597006111111,13.8825602701667,,,2.45777781738775,,0,18,
18-09-2020 18:17:57.240,,,,,,,1153,,,,,,
18-09-2020 18:17:57.442,,,,-0.717647058823529,,,,,,28.2352941176471,,,
18-09-2020 18:17:57.647,,15.6449869129044,,,0.0250176434722222,13.8855182130278,,,1.40926544962269,,-0.267046821703797,17,
18-09-2020 18:17:57.848,,,,,,,1098,,,,,,
18-09-2020 18:17:57.940,,,,-0.717647058823529,,,,,,28.2352941176471,,,
18-09-2020 18:17:57.987,,15.720378678796,,,0.0266186656944444,13.88711923525,,,1.52729633801754,,-0.219377596800036,17,
18-09-2020 18:17:58.032,,,,,,,1078,,,,,,
18-09-2020 18:17:58.076,,,,-0.717647058823529,,,,,,28.2352941176471,,,
18-09-2020 18:17:58.095,,15.7426438433342,,,0.0271283242777778,13.8876288938333,,,1.50322551352891,,-0.229099099042134,17,
18-09-2020 18:17:58.141,,,,,,,1083,,,,,,
18-09-2020 18:17:58.187,,,,-0.717647058823529,,,,,,28.2352941176471,,,
18-09-2020 18:17:58.232,,15.7481986146938,,,0.0277386189444444,13.8882391885,,,0.656787286748225,,-0.458888226713178,16,
18-09-2020 18:17:58.281,,,,,,,1062,,,,,,
18-09-2020 18:17:58.327,,,,-0.717647058823529,,,,,,28.2352941176471,,,
18-09-2020 18:17:58.396,,15.7545511128566,,,0.0284668638333333,13.8889674333889,,,0.86127867174237,,-0.371138379390122,16,
18-09-2020 18:17:58.446,,,,,,,1065,,,,,,
18-09-2020 18:17:58.515,,,,-0.717647058823529,,,,,,28.2352941176471,,,
18-09-2020 18:17:58.560,,15.7605938201221,,,0.0291968362777778,13.8896974058333,,,0.597140563578727,,-0.484483392258141,16,
18-09-2020 18:17:58.630,,,,,,,1033,,,,,,
18-09-2020 18:17:58.675,,,,-0.717647058823529,,,,,,28.2352941176471,,,
18-09-2020 18:17:58.722,,15.7662566099607,,,0.0299152185,13.8904157880556,,,0.693825940874209,,-0.442994470383543,16,
18-09-2020 18:17:58.790,,,,,,,1022,,,,,,
18-09-2020 18:17:58.835,,,,-0.705882352941177,,,,,,29.4117647058824,,,
18-09-2020 18:17:58.883,,15.7716346579147,,,0.0306305100555556,13.8911310796111,,,1.72617591705105,,0,16,
18-09-2020 18:17:58.903,,,,,,,1028,,,,,,
18-09-2020 18:17:58.949,,,,-0.705882352941177,,,,,,29.4117647058824,,,
18-09-2020 18:17:58.995,,15.775238850356,,,0.0311288336111111,13.8916294031667,,,1.72617591705105,,0,16,
18-09-2020 18:17:59.014,,,,,,,1013,,,,,,
18-09-2020 18:17:59.059,,,,-0.717647058823529,,,,,,28.2352941176471,,,
18-09-2020 18:17:59.104,,15.7634518334104,,,0.0315858944444444,13.892086464,,,0.307612623983337,,-0.510226427467619,15,
18-09-2020 18:17:59.150,,,,,,,1000,,,,,,
18-09-2020 18:17:59.196,,,,-0.705882352941177,,,,,,29.4117647058824,,,
18-09-2020 18:17:59.213,,15.7520885580801,,,0.0320399415277778,13.8925405110833,,,0.188246059878978,,-0.564862914774884,15,
18-09-2020 18:17:59.260,,,,,,,994,,,,,,
18-09-2020 18:17:59.311,,,,-0.705882352941177,,,,,,29.4117647058824,,,
18-09-2020 18:17:59.355,,15.7377564942571,,,0.0326325869444445,13.8931331565,,,0.139220736524894,,-0.587302795467338,15,
18-09-2020 18:17:59.402,,,,,,,997,,,,,,
18-09-2020 18:17:59.420,,,,-0.576470588235294,,,,,,42.3529411764706,,,
18-09-2020 18:17:59.464,,15.7271971855818,,,0.0330841723611111,13.8935847419167,,,0.129217560934413,,-0.591881450975122,15,
18-09-2020 18:17:59.510,,,,,,,1038,,,,,,
18-09-2020 18:17:59.555,,,,-0.0352941176470588,,,,,,96.4705882352941,,,
18-09-2020 18:17:59.601,,15.714284787839,,,0.0336545386111111,13.8941551081667,,,1.42232512772721,,0,15,
18-09-2020 18:17:59.646,,,,,,,1126,,,,,,
18-09-2020 18:17:59.717,,,,-0.0235294117647058,,,,,,97.6470588235294,,,
18-09-2020 18:17:59.762,,15.7201133455155,,,0.0343698746111111,13.8948704441667,,,2.90661696035036,,0.506542225856359,16,
18-09-2020 18:17:59.807,,,,,,,1010,,,,,,
18-09-2020 18:17:59.853,,,,0,,,,,,100,,,
18-09-2020 18:17:59.899,,15.7420198846091,,,0.0350165560277778,13.8955171255833,,,4.60232259053993,,1.02253560075286,17,
18-09-2020 18:17:59.943,,,,,,,1130,,,,,,
18-09-2020 18:17:59.991,,,,0,,,,,,100,,,
18-09-2020 18:18:00.013,,15.7597690689253,,,0.0355581750833333,13.8960587446389,,,4.57390182986346,,1.01105728646541,17,
18-09-2020 18:18:00.058,,,,,,,1115,,,,,,
18-09-2020 18:18:00.102,,,,0.011764705882353,,,,,,101.176470588235,,,
18-09-2020 18:18:00.148,,15.7964140498186,,,0.0362336565833333,13.8967342261389,,,6.44710600314682,,1.52166340452466,18,
18-09-2020 18:18:00.197,,,,,,,1184,,,,,,
18-09-2020 18:18:00.242,,,,0.0235294117647059,,,,,,102.352941176471,,,
18-09-2020 18:18:00.287,,15.8491102870955,,,0.0369625113611111,13.8974630809167,,,7.28421520335657,,1.58767325405001,19,
18-09-2020 18:18:00.332,,,,,,,1209,,,,,,
18-09-2020 18:18:00.351,,,,0.0352941176470588,,,,,,103.529411764706,,,
18-09-2020 18:18:00.397,,15.8900480465337,,,0.0375457717777778,13.8980463413333,,,5.97567119348266,,1.11482034135085,19,
18-09-2020 18:18:00.444,,,,,,,1259,,,,,,
18-09-2020 18:18:00.489,,,,0.0352941176470588,,,,,,103.529411764706,,,
18-09-2020 18:18:00.534,,15.9550189544155,,,0.0383048706666667,13.8988054402222,,,8.0367998079187,,1.60157297528824,20,
18-09-2020 18:18:00.680,,,,,,,1294,,,,,,
18-09-2020 18:18:00.727,,,,0.0705882352941177,,,,,,107.058823529412,,,
18-09-2020 18:18:00.774,,16.0915926635057,,,0.0397077115,13.9002082810556,,,7.97613292085943,,1.33172801511479,21,
18-09-2020 18:18:00.820,,,,,,,1389,,,,,,
18-09-2020 18:18:00.840,,,,0.0705882352941177,,,,,,107.058823529412,,,
18-09-2020 18:18:00.885,,16.1644871862222,,,0.0403857252222222,13.9008862947778,,,8.94761661445166,,1.39195838912999,22,
18-09-2020 18:18:00.955,,,,,,,1416,,,,,,
