Device time,"Ambient air temperature (℃)","Barometric pressure (kPa)","Fuel level input (L)","Instant engine power (based on acceleration) (kW)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
16-08-2020 20:45:17.847,,,,0,0,0,
16-08-2020 20:45:17.991,,,,0,0,0,
16-08-2020 20:45:18.137,,,,0,0,0,
16-08-2020 20:45:18.270,,,,0,0,0,
16-08-2020 20:45:18.424,,,,0,0,0,
16-08-2020 20:45:18.561,,,,0,0,0,
16-08-2020 20:45:18.692,,,,0,0,0,
16-08-2020 20:45:18.838,,,,0,0,0,
16-08-2020 20:45:18.969,,,,0,0,0,
16-08-2020 20:45:19.110,,,,0,0,0,
16-08-2020 20:45:19.246,,,,0,0,0,
16-08-2020 20:45:19.390,,,,0,0,0,
16-08-2020 20:45:19.578,,,,0,0,0,
16-08-2020 20:45:19.799,,,,0,0,0,
16-08-2020 20:45:20.032,,,,0,0,0,
16-08-2020 20:45:20.259,,,,0,0,0,
16-08-2020 20:45:20.479,,,,0,0,0,
16-08-2020 20:45:20.703,,,,0,0,0,
16-08-2020 20:45:20.934,,,,0,0,0,
16-08-2020 20:45:21.144,,,,0,0,0,
16-08-2020 20:45:21.291,,,,0,0,0,
16-08-2020 20:45:21.445,,,,0,0,0,
16-08-2020 20:45:21.593,,,,0,0,0,
16-08-2020 20:45:21.728,,,,0,0,0,
16-08-2020 20:45:21.877,,,,0,0,0,
16-08-2020 20:45:22.021,,,,0,0,0,
16-08-2020 20:45:22.160,,,,0,0,0,
16-08-2020 20:45:22.295,,,,0,0,0,
16-08-2020 20:45:22.433,,,,0,0,0,
16-08-2020 20:45:22.582,,,,0,0,0,
16-08-2020 20:45:22.709,,,,0,0,0,
16-08-2020 20:45:22.859,,,,0,0,0,
16-08-2020 20:45:22.994,,,,0,0,0,
16-08-2020 20:45:23.139,,,,0,0,0,
16-08-2020 20:45:23.275,,,,0,0,0,
16-08-2020 20:45:23.415,,,,0,0,0,
16-08-2020 20:45:23.557,,,,0,0,0,
16-08-2020 20:45:23.693,,,,0,0,0,
16-08-2020 20:45:23.901,,,,0,0,0,
16-08-2020 20:45:24.127,,,,0,0,0,
16-08-2020 20:45:24.356,,,,0,0,0,
16-08-2020 20:45:24.577,,,,0,0,0,
16-08-2020 20:45:24.804,,,,0,0,0,
16-08-2020 20:45:25.031,,,,0,0,0,
16-08-2020 20:45:25.258,,,,0,0,0,
16-08-2020 20:45:25.384,,,,0,0,0,
16-08-2020 20:45:25.526,,,,0,0,0,
16-08-2020 20:45:25.673,,,,0,0,0,
16-08-2020 20:45:25.804,,,,0,0,0,
16-08-2020 20:45:25.957,,,,0,0,0,
16-08-2020 20:45:26.097,,,,0,0,0,
16-08-2020 20:45:26.230,,,,0,0,0,
16-08-2020 20:45:26.376,,,,0,0,0,
16-08-2020 20:45:26.510,,,,0,0,0,
16-08-2020 20:45:26.657,,,,0,0,0,
16-08-2020 20:45:26.775,,,,0,0,0,
16-08-2020 20:45:26.896,,,,0,0,0,
16-08-2020 20:45:27.045,,,,0,0,0,
16-08-2020 20:45:27.192,,,,0,0,0,
16-08-2020 20:45:27.312,,,,0,0,0,
16-08-2020 20:45:27.444,,,,0,0,0,
16-08-2020 20:45:27.593,,,,0,0,0,
16-08-2020 20:45:27.797,,,,0,0,0,
16-08-2020 20:45:28.011,,,,0,0,0,
16-08-2020 20:45:28.234,,,,0,0,0,
16-08-2020 20:45:28.533,,,,0,0,0,
16-08-2020 20:45:28.758,,,,0,0,0,
16-08-2020 20:45:28.981,,,,0,0,0,
16-08-2020 20:45:29.211,,,,0,0,0,
16-08-2020 20:45:29.385,,,,0,0,0,
16-08-2020 20:45:29.533,,,,0,0,0,
16-08-2020 20:45:29.659,,,,0,0,0,
16-08-2020 20:45:29.812,,,,0,0,0,
16-08-2020 20:45:29.964,,,,0,0,0,
16-08-2020 20:45:30.108,,,,0,0,0,
16-08-2020 20:45:30.242,,,,0,0,0,
16-08-2020 20:45:30.373,,,,0,0,0,
16-08-2020 20:45:30.522,,,,0,0,0,
16-08-2020 20:45:30.644,,,,0,0,0,
16-08-2020 20:45:30.787,,,,0,0,0,
16-08-2020 20:45:30.909,,,,0,0,0,
16-08-2020 20:45:31.044,,,,0,0,0,
